data_year,criminal_act_id,offense_id
2021,6,165500998
2021,6,165500999
2021,1,165501000
2021,6,165501000
2021,9,165501003
2021,8,165501005
2021,9,165501008
2021,9,165501010
2021,1,165501012
2021,6,165501012
2021,9,165501014
2021,1,165501017
2021,6,165501017
2021,9,165501018
2021,9,165501020
2021,8,165501022
2021,9,165501026
2021,9,165501027
2021,9,165501028
2021,9,165501029
2021,9,165501034
2021,9,165501035
2021,9,165501042
2021,9,165501054
2021,6,165501057
2021,1,165501059
2021,6,165501059
2021,6,165501061
2021,9,165501065
2021,9,166630206
2021,9,166630208
2021,9,166630209
2021,9,166630212
2021,10,166630214
2021,9,166630215
2021,9,166630216
2021,4,166630217
2021,9,166630218
2021,6,166630219
2021,9,166630220
2021,9,166630223
2021,9,166630224
2021,9,166630226
2021,6,166630227
2021,9,166630229
2021,9,166630231
2021,9,166630233
2021,6,166630243
2021,9,166630244
2021,6,166630249
2021,6,166630250
2021,9,166630256
2021,9,166630259
2021,9,166630260
2021,9,166630262
2021,9,166630264
2021,6,166630265
2021,9,166630267
2021,3,166630275
2021,6,166630275
2021,8,166630275
2021,9,166630276
2021,9,166630277
2021,6,166630281
2021,4,166630282
2021,9,166630285
2021,9,166630286
2021,9,166630287
2021,9,166630294
2021,9,166630303
2021,9,166630304
2021,9,166630305
2021,6,166630306
2021,8,166630306
2021,9,166630307
2021,9,166630308
2021,6,166630311
2021,9,166630312
2021,9,166630313
2021,6,166630314
2021,9,166630316
2021,9,166630317
2021,9,166630324
2021,9,166630325
2021,11,166630326
2021,9,166630327
2021,9,166630329
2021,9,166630331
2021,9,166630337
2021,6,166630338
2021,9,166630339
2021,6,166630340
2021,8,166630340
2021,9,166630341
2021,1,166630345
2021,10,166630347
2021,9,166630350
2021,9,166630351
2021,9,166630353
2021,9,166630354
2021,9,166630355
2021,6,166630356
2021,9,166630359
2021,6,166630360
2021,6,166630361
2021,6,166630366
2021,9,166630368
2021,9,166630369
2021,6,168102317
2021,9,168102325
2021,9,168102327
2021,9,168102332
2021,9,168102334
2021,9,168102336
2021,9,168102347
2021,9,168102348
2021,9,168102349
2021,9,168102354
2021,6,168102357
2021,9,168102358
2021,8,168102369
2021,9,168102371
2021,9,168102372
2021,9,168102375
2021,9,168102377
2021,9,168102380
2021,9,168102381
2021,9,168102384
2021,6,168102387
2021,9,168102391
2021,6,168102396
2021,6,168102401
2021,9,168102405
2021,6,168102409
2021,8,168102409
2021,6,168102410
2021,8,168102410
2021,9,168102412
2021,6,168102430
2021,9,168102433
2021,9,168102437
2021,9,168102439
2021,6,168102440
2021,1,168102441
2021,6,168102442
2021,8,168102442
2021,9,168102443
2021,6,168102444
2021,7,168102444
2021,6,168102446
2021,6,168102447
2021,1,168102448
2021,9,168102450
2021,9,168102454
2021,6,168102456
2021,1,168102457
2021,6,168102458
2021,7,168102458
2021,9,168102461
2021,9,168102462
2021,9,168102465
2021,9,168102469
2021,6,168102470
2021,9,168102471
2021,9,168102474
2021,9,168102475
2021,9,168102479
2021,9,168102481
2021,8,168102484
2021,9,168102485
2021,9,168102491
2021,1,168102492
2021,2,168102492
2021,6,168102494
2021,9,168102496
2021,3,168102501
2021,6,168102501
2021,7,168102501
2021,6,169816053
2021,6,169816056
2021,6,169816061
2021,9,169816065
2021,9,169816073
2021,9,169816076
2021,9,169816078
2021,9,169816086
2021,9,169816088
2021,9,169816090
2021,6,169816091
2021,6,169816099
2021,9,169816102
2021,6,169816104
2021,7,169816104
2021,9,169816105
2021,9,169816106
2021,9,169816108
2021,9,169816109
2021,1,169816112
2021,9,169816113
2021,8,169816114
2021,9,169816115
2021,9,169816118
2021,9,169816119
2021,9,169816121
2021,9,169816126
2021,9,169816127
2021,3,169816129
2021,8,169816129
2021,9,169816131
2021,9,169816134
2021,9,169816135
2021,9,169816140
2021,8,169816142
2021,9,169816144
2021,9,169816146
2021,9,169816147
2021,9,169816148
2021,9,169816149
2021,9,169816150
2021,9,169816151
2021,9,169816152
2021,6,169816154
2021,9,169816155
2021,9,169816156
2021,9,169816157
2021,6,169816158
2021,7,169816158
2021,9,169816167
2021,9,169816168
2021,9,169816169
2021,9,169816171
2021,6,169816172
2021,7,169816172
2021,6,169816173
2021,9,169816174
2021,9,169816176
2021,8,169816182
2021,9,169816184
2021,9,169816189
2021,6,169816193
2021,2,169816194
2021,2,169816196
2021,1,169816200
2021,6,169816201
2021,9,169816202
2021,9,169816208
2021,9,169816209
2021,9,171004356
2021,3,171004357
2021,7,171004357
2021,6,171004359
2021,9,171004365
2021,6,171004366
2021,9,171004367
2021,9,171004370
2021,9,171004383
2021,7,171004385
2021,9,171004386
2021,9,171004387
2021,9,171004388
2021,6,171004389
2021,9,171004390
2021,9,171004392
2021,9,171004393
2021,9,171004394
2021,9,171004398
2021,9,171004399
2021,6,171004401
2021,7,171004402
2021,9,171004403
2021,9,171004405
2021,9,171004406
2021,6,171004407
2021,8,171004407
2021,1,171004409
2021,9,171004413
2021,6,171004422
2021,6,171004424
2021,9,171004428
2021,9,171004429
2021,9,171004431
2021,9,171004434
2021,9,171004437
2021,6,171004438
2021,9,171004440
2021,6,171004443
2021,9,171004444
2021,9,171004448
2021,9,171004449
2021,9,171004453
2021,9,171004454
2021,9,171004455
2021,9,171004458
2021,9,171004459
2021,9,171004461
2021,9,171004462
2021,9,171004465
2021,9,171004467
2021,9,171004468
2021,9,171004469
2021,9,171004473
2021,9,171004474
2021,9,171004476
2021,9,171004478
2021,9,171004480
2021,9,171004483
2021,9,171004484
2021,9,171004486
2021,9,171004487
2021,9,171004489
2021,9,171004490
2021,9,171004491
2021,9,171004493
2021,9,180303279
2021,9,180303302
2021,9,180303347
2021,6,180303369
2021,6,180303431
2021,6,180303443
2021,9,180303450
2021,9,180303480
2021,9,180303526
2021,9,180303534
2021,9,180303562
2021,9,180303563
2021,9,180303613
2021,9,180303638
2021,6,180303710
2021,9,180303769
2021,9,180303787
2021,9,180303802
2021,9,180303852
2021,9,180303874
2021,9,180303896
2021,6,180304050
2021,6,180304075
2021,9,180304181
2021,6,180304216
2021,6,180304233
2021,6,180304267
2021,9,180304316
2021,1,180304334
2021,6,180304334
2021,7,180304334
2021,6,180304376
2021,9,180304402
2021,9,180304410
2021,3,180304474
2021,6,180304474
2021,8,180304474
2021,9,180304518
2021,9,180304558
2021,9,180304623
2021,6,180304663
2021,1,180304682
2021,6,180304682
2021,9,180304729
2021,9,180304824
2021,9,180304849
2021,9,180304898
2021,9,180304904
2021,9,180304918
2021,6,180304936
2021,7,180304936
2021,9,180304961
2021,9,180304982
2021,6,180305010
2021,6,180305019
2021,7,180305019
2021,8,180305019
2021,4,180305115
2021,9,180305122
2021,6,180305135
2021,1,180305169
2021,6,180305169
2021,6,180305170
2021,6,180305171
2021,6,180305178
2021,6,180305206
2021,9,180305229
2021,8,180305278
2021,9,180305295
2021,9,180305338
2021,6,180305342
2021,6,180305354
2021,8,180305354
2021,9,180305447
2021,6,180305474
2021,9,180305565
2021,9,180305583
2021,6,180305640
2021,6,180305694
2021,6,180305706
2021,9,180305734
2021,9,180305779
2021,9,180305785
2021,9,173640746
2021,9,173640749
2021,9,173640750
2021,9,173640751
2021,9,173640752
2021,9,173640759
2021,6,173640767
2021,3,173640768
2021,6,173640769
2021,9,173640771
2021,9,173640772
2021,9,173640773
2021,10,173640775
2021,9,173640778
2021,6,173640781
2021,9,173640782
2021,9,173640783
2021,6,173640785
2021,3,173640787
2021,9,173640788
2021,6,173640789
2021,9,173640790
2021,9,173640792
2021,6,173640796
2021,6,173640797
2021,8,173640797
2021,1,173640798
2021,3,173640799
2021,9,173640804
2021,6,173640806
2021,6,173640807
2021,8,173640807
2021,8,173640808
2021,9,173640813
2021,9,173640815
2021,9,173640816
2021,6,173640817
2021,7,173640817
2021,9,173640819
2021,9,173640821
2021,9,173640827
2021,9,173640829
2021,9,173640831
2021,6,173640833
2021,9,173640836
2021,6,173640837
2021,9,173640839
2021,9,173640840
2021,9,173640844
2021,9,173640846
2021,6,173640848
2021,6,173640849
2021,7,173640849
2021,6,173640850
2021,7,173640850
2021,1,173640851
2021,6,173640851
2021,7,173640851
2021,9,173640858
2021,9,173640860
2021,9,173640861
2021,4,173640863
2021,6,173640863
2021,9,173640864
2021,6,173640865
2021,9,173640868
2021,9,173640870
2021,9,173640874
2021,9,174890027
2021,9,174890028
2021,9,174890031
2021,9,174890061
2021,9,174890062
2021,9,174890064
2021,9,174890067
2021,9,174890069
2021,9,174890076
2021,6,174890085
2021,5,174890091
2021,9,174890093
2021,9,174890095
2021,9,174890097
2021,6,174890100
2021,9,174890103
2021,6,174890105
2021,7,174890109
2021,9,174890111
2021,9,174890119
2021,9,174890123
2021,9,174890125
2021,6,174890129
2021,7,174890129
2021,8,174890129
2021,8,174890130
2021,9,174890132
2021,6,174890151
2021,7,174890151
2021,9,174890152
2021,6,174890153
2021,9,174890154
2021,9,174890155
2021,9,174890156
2021,9,174890157
2021,9,174890158
2021,9,174890162
2021,6,174890169
2021,7,174890169
2021,9,174890170
2021,9,174890171
2021,1,174890173
2021,9,174890177
2021,1,174890179
2021,9,174890181
2021,9,174890183
2021,9,174890184
2021,6,174890185
2021,9,174890186
2021,9,174890188
2021,9,174890190
2021,9,174890191
2021,9,174890195
2021,9,176533843
2021,9,176533844
2021,9,176533845
2021,1,176533846
2021,9,176533847
2021,6,176533850
2021,9,176533851
2021,9,176533852
2021,1,176533853
2021,9,176533855
2021,6,176533860
2021,9,176533863
2021,9,176533866
2021,9,176533871
2021,9,176533872
2021,9,176533879
2021,9,176533880
2021,6,176533881
2021,9,176533882
2021,9,176533883
2021,9,176533888
2021,9,176533891
2021,9,176533893
2021,9,176533897
2021,6,176533898
2021,9,176533903
2021,9,176533905
2021,9,176533907
2021,6,176533908
2021,9,176533909
2021,9,176533910
2021,6,176533911
2021,9,176533912
2021,9,176533916
2021,9,176533919
2021,9,176533921
2021,9,176533922
2021,9,176533924
2021,9,176533925
2021,9,176533928
2021,9,176533929
2021,3,176533933
2021,6,176533933
2021,9,176533935
2021,9,176533936
2021,9,176533939
2021,9,176533940
2021,9,176533941
2021,9,176533942
2021,9,176533943
2021,9,176533944
2021,3,176533945
2021,9,176533946
2021,8,176533947
2021,9,176533948
2021,9,176533950
2021,9,176533951
2021,9,176533955
2021,9,176533959
2021,9,176533961
2021,6,176533963
2021,9,176533967
2021,9,176533968
2021,9,176533969
2021,9,176533970
2021,6,176533971
2021,7,176533971
2021,8,176533971
2021,9,176533972
2021,6,176533974
2021,9,176533980
2021,9,176533981
2021,9,178358988
2021,6,178358991
2021,9,178359078
2021,2,178359079
2021,9,178359080
2021,1,180129606
2021,6,180129606
2021,8,180129606
2021,9,172860510
2021,9,172860528
2021,9,172860536
2021,9,172860537
2021,9,172860544
2021,9,172860552
2021,9,172860563
2021,8,172860571
2021,9,178863618
2021,9,178863630
2021,9,178863661
2021,1,178863701
