data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2021,42298172,,52
2021,42298173,,51
2021,44054781,,3
2021,42298174,,51
2021,42298175,,51
2021,42298176,,51
2021,42780726,,52
2021,42298180,,51
2021,42298181,,51
2021,42298182,,51
2021,42298183,,51
2021,42780666,,52
2021,42298184,,52
2021,42298185,,51
2021,42298186,,51
2021,42298187,,51
2021,42298188,,51
2021,42298189,,51
2021,42298190,,51
2021,42298191,,51
2021,42298192,,51
2021,42298193,,51
2021,42298194,,51
2021,42298195,,51
2021,42298196,,51
2021,42298197,,51
2021,42298198,,51
2021,42298199,,51
2021,42298200,,51
2021,42298201,,51
2021,42780667,,51
2021,42298202,,51
2021,42298203,,51
2021,42298205,,51
2021,42298207,,51
2021,42298208,,51
2021,42298210,,51
2021,42298211,,51
2021,42298212,,51
2021,42298214,,51
2021,42298215,,51
2021,44778641,,51
2021,42780668,,51
2021,42780669,,51
2021,42780670,,51
2021,42780672,,51
2021,42780727,,1
2021,42780673,,3
2021,42780675,,51
2021,42780676,,51
2021,42780677,,51
2021,42780678,,51
2021,42780679,,51
2021,42780680,,51
2021,42780681,,51
2021,41837227,,51
2021,42780682,,51
2021,42780683,,51
2021,42780684,,53
2021,43500632,,3
2021,44646264,,51
2021,42780685,,51
2021,44054782,,51
2021,42780686,,3
2021,42780687,,3
2021,42780688,,51
2021,42780689,,51
2021,42780690,,51
2021,43186603,,52
2021,42780691,,51
2021,42780692,,51
2021,42780693,,51
2021,42780694,,51
2021,42780695,,51
2021,42780698,,51
2021,42780699,,51
2021,42780700,,51
2021,42780701,,51
2021,42780702,,51
2021,42780718,,51
2021,42780719,,51
2021,42780723,,51
2021,43186604,,52
2021,43186605,,52
2021,42780724,,51
2021,43186606,,51
2021,42780728,,51
2021,42780729,,51
2021,42780730,,51
2021,42780732,,51
2021,42780733,,51
2021,42780734,,51
2021,42780735,,51
2021,42780736,,51
2021,42780738,,51
2021,42780739,,51
2021,42780741,,51
2021,42780742,,51
2021,42780743,,51
2021,42780744,,51
2021,42780745,,51
2021,42780746,,51
2021,43186607,,3
2021,42780747,,51
2021,42780748,,51
2021,42780749,,51
2021,42780750,,51
2021,45132810,,3
2021,42780751,,51
2021,42780752,,51
2021,42780753,,51
2021,42780756,,51
2021,42780757,,51
2021,42780758,,51
2021,42780761,,51
2021,42780762,,51
2021,42780763,,51
2021,42780764,,51
2021,42780765,,51
2021,44526887,,3
2021,42780766,,51
2021,42780767,,51
2021,42780768,,51
2021,42780769,,51
2021,42780770,,51
2021,42780771,,51
2021,42780772,,53
2021,42780773,,51
2021,42780774,,51
2021,43186608,,51
2021,43186610,,51
2021,43186611,,51
2021,43186612,,51
2021,43186613,,51
2021,43186615,,51
2021,43186616,,51
2021,43186617,,51
2021,43186618,,51
2021,43186619,,51
2021,43186621,,51
2021,43186622,,51
2021,43186623,,51
2021,45132811,,1
2021,44054783,,51
2021,43562485,,51
2021,43186628,,51
2021,43186631,,51
2021,43186637,,51
2021,43186638,,51
2021,43186639,,51
2021,43186640,,51
2021,43186641,,51
2021,43186642,,51
2021,43186643,,51
2021,43186644,,51
2021,43186645,,51
2021,43186646,,51
2021,43186648,,51
2021,43186649,,51
2021,43186650,,51
2021,43186651,,51
2021,43186652,,51
2021,43186653,,51
2021,43186654,,51
2021,43500633,,51
2021,43186655,,52
2021,43186656,,51
2021,43186657,,51
2021,43186658,,51
2021,43186659,,51
2021,43186660,,51
2021,43186661,,51
2021,43186662,,51
2021,43500634,,51
2021,43500635,,51
2021,43815489,,51
2021,43500636,,3
2021,43500637,,51
2021,43500638,,51
2021,43500639,,51
2021,43500640,,51
2021,43500641,,51
2021,43500642,,52
2021,43562506,,51
2021,43500644,,51
2021,43500645,,51
2021,43815490,,51
2021,43500646,,51
2021,43500647,,51
2021,43500648,,51
2021,43815491,,51
2021,43500649,,51
2021,43500650,,51
2021,43500651,,51
2021,43500652,,51
2021,43500653,,51
2021,43500654,,51
2021,43500655,,51
2021,44778642,,51
2021,43500656,,51
2021,43500657,,51
2021,43500658,,51
2021,43500659,,51
2021,43500660,,51
2021,43500661,,51
2021,43500662,,51
2021,43500663,,52
2021,43500664,,51
2021,43500665,,51
2021,43500666,,51
2021,43500667,,51
2021,43500668,,51
2021,44526888,,51
2021,43500669,,51
2021,43500670,,51
2021,43500671,,51
2021,43500672,,51
2021,43500673,,51
2021,43500674,,51
2021,43500675,,51
2021,43500676,,51
2021,43500679,,51
2021,43500680,,51
2021,43500681,,51
2021,43500683,,51
2021,43500684,,51
2021,43500685,,51
2021,43500687,,51
2021,43500690,,1
2021,43500691,,51
2021,43815492,,52
2021,43815493,,51
2021,43815494,,51
2021,43815495,,51
2021,43815496,,51
2021,43815501,,51
2021,43815502,,51
2021,43815503,,51
2021,43815504,,51
2021,43815505,,51
2021,43815506,,51
2021,43815507,,51
2021,43815508,,51
2021,43815509,,51
2021,43815511,,52
2021,43815511,,53
2021,43815513,,51
2021,43815514,,51
2021,43815515,,52
2021,43815516,,51
2021,43815517,,51
2021,43815518,,51
2021,44778643,,51
2021,43815519,,9
2021,43815520,,51
2021,44526889,,51
2021,43815521,,51
2021,43815522,,51
2021,43815523,,51
2021,43815530,,51
2021,43815531,,51
2021,43815532,,51
2021,43815533,,51
2021,43815534,,51
2021,43815535,,51
2021,43815536,,51
2021,43815537,,51
2021,43815538,,51
2021,43815539,,51
2021,43815540,,51
2021,43815541,,51
2021,43815542,,51
2021,43815543,,51
2021,43815544,,51
2021,43815545,,51
2021,43815546,,51
2021,43815548,,51
2021,43815549,,51
2021,43815556,,51
2021,44054784,,51
2021,44054785,,51
2021,44054786,,51
2021,44054787,,51
2021,44054788,,51
2021,44054789,,51
2021,44054790,,51
2021,44054791,,51
2021,44054792,,51
2021,44054793,,51
2021,44054794,,52
2021,44054795,,51
2021,44054796,,51
2021,44054797,,51
2021,44054811,,51
2021,44054817,,51
2021,44054821,,51
2021,44054822,,51
2021,44054823,,51
2021,44054824,,51
2021,44054825,,51
2021,44054826,,51
2021,44054827,,51
2021,44054828,,51
2021,44054829,,51
2021,44054830,,51
2021,44054831,,51
2021,44054832,,51
2021,44054833,,51
2021,44054834,,51
2021,44054835,,51
2021,44526890,,51
2021,44054836,,51
2021,44054837,,51
2021,44054838,,51
2021,44054839,,51
2021,44054840,,51
2021,44054841,,3
2021,44526891,,51
2021,44526892,,51
2021,44526893,,51
2021,44526894,,51
2021,44526895,,51
2021,44526896,,51
2021,44526897,,51
2021,44526898,,51
2021,44526899,,51
2021,44526900,,51
2021,44526901,,51
2021,44526902,,51
2021,44526903,,51
2021,44526904,,51
2021,45132812,,51
2021,44526921,,51
2021,44526929,,51
2021,44526932,,51
2021,44526933,,51
2021,44526941,,51
2021,44526946,,51
2021,44526947,,51
2021,44526948,,51
2021,44526949,,51
2021,44526950,,51
2021,44526951,,51
2021,44526952,,51
2021,44526953,,51
2021,44526954,,51
2021,44526955,,51
2021,44526956,,51
2021,44526957,,51
2021,44526958,,51
2021,44526959,,51
2021,44778644,,51
2021,45132813,,51
2021,44526960,,51
2021,44526961,,51
2021,44526970,,51
2021,44526971,,51
2021,45560407,,1
2021,44526972,,51
2021,44526974,,51
2021,44526975,,51
2021,44526976,,51
2021,44526977,,51
2021,44526978,,51
2021,44526979,,51
2021,44526980,,51
2021,44526985,,51
2021,44526988,,53
2021,44526989,,51
2021,44526993,,51
2021,44526994,,51
2021,44778645,,51
2021,44778646,,51
2021,45132814,,51
2021,44778647,,51
2021,44778648,,51
2021,44778649,,51
2021,44778650,,51
2021,44778651,,51
2021,45560408,,1
2021,45132815,,3
2021,44778652,,51
2021,44778653,,51
2021,44778654,,51
2021,44778655,,51
2021,44778656,,51
2021,44778657,,51
2021,44778658,,51
2021,44778659,,51
2021,44778660,,51
2021,44778661,,51
2021,44778662,,51
2021,44778663,,51
2021,44778664,,51
2021,44778665,,51
2021,44778666,,51
2021,44778667,,51
2021,44778668,,51
2021,44778669,,51
2021,44778670,,51
2021,44778671,,51
2021,44778672,,51
2021,44778673,,51
2021,44778674,,51
2021,44778675,,51
2021,45132816,,51
2021,45132817,,51
2021,44778676,,51
2021,44778677,,51
2021,44778678,,51
2021,44778679,,51
2021,44778680,,51
2021,44778681,,51
2021,44778682,,51
2021,44778683,,51
2021,44778684,,51
2021,44778685,,51
2021,44778686,,51
2021,44778687,,51
2021,44778688,,51
2021,44778689,,52
2021,44778690,,51
2021,45132818,,51
2021,45132819,,51
2021,45132820,,3
2021,45132821,,51
2021,45132822,,51
2021,45132823,,51
2021,45132824,,51
2021,45132825,,51
2021,45132826,,51
2021,45132827,,51
2021,45132828,,51
2021,45132829,,51
2021,45132830,,51
2021,45132831,,51
2021,45132832,,51
2021,45132833,,51
2021,45560409,,51
2021,45132834,,51
2021,45132835,,51
2021,45132836,,51
2021,45132837,,51
2021,45132838,,51
2021,45132839,,9
2021,45132840,,51
2021,45132841,,51
2021,45132842,,52
2021,45132843,,51
2021,45132844,,1
2021,45132845,,51
2021,45132846,,51
2021,45132847,,51
2021,45132848,,51
2021,45132849,,51
2021,45132850,,51
2021,45132851,,51
2021,45132903,,51
2021,45560410,,51
2021,45132905,,51
2021,45132906,,51
2021,45132907,,51
2021,45132908,,51
2021,41358951,,51
2021,41362373,,51
2021,46011282,,51
2021,41362374,,51
2021,41362375,,51
2021,44416671,,51
2021,41894397,,51
2021,42467208,,51
2021,43085978,,51
2021,41894399,,51
2021,41894400,,51
2021,41898626,,51
2021,42169863,,51
2021,42169864,,51
2021,43931286,,1
2021,42701410,,51
2021,42467210,,51
2021,45297637,,51
2021,45297638,,51
2021,45297639,,51
2021,42467214,,51
2021,42701411,,51
2021,42701412,,51
2021,44416673,,51
2021,44416674,,51
2021,43672473,,3
2021,43085979,,51
2021,43085980,,51
2021,43085981,,51
2021,43085982,,51
2021,43412722,,51
2021,45297641,,51
2021,43412724,,51
2021,43412725,,51
2021,43412726,,51
2021,45297642,,51
2021,43672481,,51
2021,43672483,,51
2021,45297643,,51
2021,43672487,,51
2021,43931288,,51
2021,44416680,,51
2021,44416681,,51
2021,44416682,,51
2021,44416683,,51
2021,44416684,,51
2021,44416686,,51
2021,46011290,,51
2021,44624271,,51
2021,44965852,,51
2021,44965853,,51
2021,44965854,,51
2021,46011295,,51
2021,44497515,,51
2021,45039271,,51
2021,45039272,,51
